Identifier,StructureData,,,,,
Entry ID,Collection Temperature,Detector,Collection Date,Diffraction Source General Class,Diffraction Source Make, Model or Name,
"2IRN"
"2IRO"
"2JA5","100","CCD","2005-08-21","SYNCHROTRON","SLS BEAMLINE X06SA"
"2JA6","100","CCD","2005-06-22","SYNCHROTRON","SLS BEAMLINE X06SA"
"2JA7","100","CCD","2005-05-06","SYNCHROTRON","SLS BEAMLINE X06SA"
"2JA8","100","CCD","2005-12-14","SYNCHROTRON","SLS BEAMLINE X06SA"
"2OEU","100","CCD","2006-03-15","SYNCHROTRON","SSRL BEAMLINE BL9-1"
"2IL9","100","CCD","2006-04-25","SYNCHROTRON","ALS BEAMLINE 8.2.1"
,,"IMAGE PLATE","2006-05-29","ROTATING ANODE","RIGAKU"
"2NOK","100","IMAGE PLATE","2006-03-15","ROTATING ANODE","RIGAKU"
"2OE5","100","CCD","2000-04-01","SYNCHROTRON","NSLS BEAMLINE X9A"
"2OE6","100","CCD","2000-04-01","SYNCHROTRON","NSLS BEAMLINE X9A"
"2OE8","100","CCD","2000-04-01","SYNCHROTRON","NSLS BEAMLINE X9A"
"2OIJ","100","CCD","2001-04-15","SYNCHROTRON","ESRF BEAMLINE BM30A"
,,"IMAGE PLATE","2001-04-16","SYNCHROTRON","ESRF BEAMLINE BM30A"
"2FY1"
"2O32"
"2O33"
"2OB7"
"2G3S","298","CCD","2000-11-30","SYNCHROTRON","ALS BEAMLINE 5.0.2"
"2IHX"
"2NZ4","100","CCD","2006-06-29","SYNCHROTRON","NSLS BEAMLINE X25"
"2E2I","100",,"2006-03-14","SYNCHROTRON","SSRL BEAMLINE BL11-1"
"2HW8","100","IMAGE PLATE","2004-12-22","SYNCHROTRON","EMBL/DESY, HAMBURG BEAMLINE BW7B"
"2NVX","100",,,"SYNCHROTRON","ALS BEAMLINE 5.0.2"
"2NVZ","100","CCD","2003-02-21","SYNCHROTRON","SSRL BEAMLINE BL11-1"
"2E2H","100",,"2006-05-08","SYNCHROTRON","SSRL BEAMLINE BL11-1"
"2E2J","100",,"2005-11-01","SYNCHROTRON","ALS BEAMLINE 5.0.2"
"2I2Y"
"2NVQ",,"CCD","2004-02-27","SYNCHROTRON","SSRL BEAMLINE BL11-1"
"2NVT","100","CCD","2006-07-06","SYNCHROTRON","SSRL BEAMLINE BL11-1"
"2FDT"
"2G9C","100","CCD","2005-11-12","SYNCHROTRON","ALS BEAMLINE 8.2.2"
"2GRB",,"CCD","2003-07-09","SYNCHROTRON","APS BEAMLINE 14-BM-D"
"2H49"
"2I82","100","CCD","2005-07-10","SYNCHROTRON","ALS BEAMLINE 8.2.1"
"2NOQ"
"2DR7","100","CCD","2005-05-17","SYNCHROTRON","SPRING-8 BEAMLINE BL41XU"
"2DR8","100","CCD","2005-05-17","SYNCHROTRON","SPRING-8 BEAMLINE BL41XU"
"2DR9","100","CCD","2005-05-17","SYNCHROTRON","SPRING-8 BEAMLINE BL41XU"
"2DRA","100","CCD","2005-05-17","SYNCHROTRON","SPRING-8 BEAMLINE BL41XU"
"2DRB","100","CCD","2005-05-17","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-5A"
"2DVI","100","CCD","2005-05-17","SYNCHROTRON","SPRING-8 BEAMLINE BL41XU"
"2HT1","100",,,"SYNCHROTRON","ALS BEAMLINE 8.3.1"
"2J28"
"2J37"
"2IY3"
"2CZJ","100","CCD","2004-12-14","SYNCHROTRON","PHOTON FACTORY BEAMLINE AR-NW12A"
"2DR5","100","CCD","2005-05-17","SYNCHROTRON","SPRING-8 BEAMLINE BL41XU"
"2DXI","100","CCD","2004-02-10","SYNCHROTRON","SPRING-8 BEAMLINE BL41XU"
"2F8S",100,"CCD","2005-06-20","SYNCHROTRON","NSLS BEAMLINE X29A"
,,,,"SYNCHROTRON","NSLS BEAMLINE X12C"
"2F8T","100","IMAGE PLATE","2005-06-12","ROTATING ANODE","RIGAKU"
"2HNS"
"2ANN","100","CCD","2002-11-27","SYNCHROTRON","APS BEAMLINE 19-ID"
"2ANR","100","CCD","2003-02-07","SYNCHROTRON","NSLS BEAMLINE X4A"
"2AHT"
"2I91","120","CCD","2005-04-25","SYNCHROTRON","NSLS BEAMLINE X25"
"2IX1","100","CCD","2004-11-14","SYNCHROTRON","ESRF BEAMLINE ID14-2"
"1ZBH","100",,"2004-10-20","SYNCHROTRON","NSLS BEAMLINE X4A"
"2GCS","100","CCD","2006-02-01","SYNCHROTRON","ALS BEAMLINE 5.0.1"
"2GCV","100","CCD","2005-08-04","SYNCHROTRON","ALS BEAMLINE 5.0.2"
"2H0S","100","CCD","2006-02-01","SYNCHROTRON","ALS BEAMLINE 5.0.2"
"2H0W","100","CCD","2006-02-01","SYNCHROTRON","ALS BEAMLINE 5.0.1"
"2H0X","100","CCD","2006-02-01","SYNCHROTRON","ALS BEAMLINE 5.0.2"
"2H0Z","100","IMAGE PLATE","2006-04-26","ROTATING ANODE","RIGAKU"
"2HHH","100","CCD","2003-04-20","SYNCHROTRON","SLS BEAMLINE X06SA"
