PDB_ID,Experimental_Method,Resolution_(Å)
6XXB,SOLUTION NMR,
7A3Y,SOLUTION NMR,
7ACS,SOLUTION NMR,
7ACT,SOLUTION NMR,
7D12,SOLUTION NMR,
7DD4,SOLUTION NMR,
7EXY,SOLUTION NMR,
7FHI,SOLUTION NMR,
7FJ0,SOLUTION NMR,
7JU1,SOLUTION NMR,
7K4L,SOLUTION NMR,
7KUB,SOLUTION NMR,
7KUC,SOLUTION NMR,
7KUD,SOLUTION NMR,
7NBL,SOLUTION NMR,
7NEJ,SOLUTION NMR,
7PDU,SOLUTION NMR,
7POF,SOLUTION NMR,
7PS8,SOLUTION NMR,
7Q33,SOLUTION NMR,
7Q48,SOLUTION NMR,
7Q4L,SOLUTION NMR,
7Q6L,SOLUTION NMR,
7QA2,SOLUTION NMR,
7QDD,SOLUTION NMR,
7QDE,SOLUTION NMR,
7RQ5,SOLUTION NMR,
7RWR,SOLUTION NMR,
7SHX,SOLUTION NMR,
7UMC,SOLUTION NMR,
7UMD,SOLUTION NMR,
7UME,SOLUTION NMR,
7VRL,SOLUTION NMR,
7ZAP,SOLUTION NMR,
7ZEW,SOLUTION NMR,
7ZEX,SOLUTION NMR,
8BWT,SOLUTION NMR,
8CF2,SOLUTION NMR,
8CLR,SOLUTION NMR,
8COO,SOLUTION NMR,
8CQ1,SOLUTION NMR,
8DRH,SOLUTION NMR,
8FCS,SOLUTION NMR,
8I43,SOLUTION NMR,
8I44,SOLUTION NMR,
8I45,SOLUTION NMR,
8I46,SOLUTION NMR,
8JHP,SOLUTION NMR,
8K8B,SOLUTION NMR,
8PSH,SOLUTION NMR,
8Q4O,SOLUTION NMR,
8R62,SOLUTION NMR,
8R63,SOLUTION NMR,
8SCF,SOLUTION NMR,
8THV,SOLUTION NMR,
8U3M,SOLUTION NMR,
8YZL,SOLUTION NMR,
8ZNQ,SOLUTION NMR,
9BCI,SOLUTION NMR,
9BLM,SOLUTION NMR,
9BXE,SOLUTION NMR,
9CPD,SOLUTION NMR,
9CPG,SOLUTION NMR,
9CPI,SOLUTION NMR,
9CPJ,SOLUTION NMR,
9DLL,SOLUTION NMR,
9ECQ,SOLUTION NMR,
9ECR,SOLUTION NMR,
9EOW,SOLUTION NMR,
9FO8,SOLUTION NMR,
9FO9,SOLUTION NMR,
9I8B,SOLUTION NMR,
9IO0,SOLUTION NMR,
9IO1,SOLUTION NMR,
9IOR,SOLUTION NMR,
9IOS,SOLUTION NMR,
9IOU,SOLUTION NMR,
9JVN,SOLUTION NMR,
9KAD,SOLUTION NMR,
9KZP,SOLUTION NMR,
